x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,PERIOD,CURRENT_FLAG,NORMAL_CODE,NORMAL_ID,PUBLICATION_CODE,DATE_CALCULATED,FIRST_OCCURRENCE_DATE,PROVINCE_CODE,PERIOD_BEGIN,PERIOD_END,FIRST_YEAR,FIRST_YEAR_NORMAL_PERIOD,LAST_YEAR,LAST_YEAR_NORMAL_PERIOD,YEAR_COUNT_NORMAL_PERIOD,TOTAL_OBS_COUNT,OCCURRENCE_COUNT,MAX_DURATION_MISSING_YEARS,PERCENT_OF_POSSIBLE_OBS,E_NORMAL_ELEMENT_NAME,F_NORMAL_ELEMENT_NAME,MONTH,VALUE
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.74.1,NORM,Y,A,74,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Median Daily Snow Depth cm,Épaisseur de la neige médiane quotidienne en cm,1,14.63
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.76.1,NORM,Y,A,76,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 1 cm,Jours avec épaisseur de la neige >= 1 cm,1,26.97
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.77.1,NORM,Y,A,77,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 5 cm,Jours avec épaisseur de la neige >= 5 cm,1,21.4
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.78.1,NORM,Y,A,78,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 10 cm,Jours avec épaisseur de la neige >= 10 cm,1,17.27
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.79.1,NORM,Y,A,79,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 20 cm,Jours avec épaisseur de la neige >= 20 cm,1,10.4
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.80.1,NORM,Y,A,80,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 50 cm,Jours avec épaisseur de la neige >=50 cm,1,2.23
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.81.1,NORM,Y,A,81,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with snow depth GE 100 cm,Jours avec épaisseur de la neige >= 100 cm,1,0.33
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.82.1,NORM,Y,A,82,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,30,,0,100,Mean month end snow depth cm,Épaisseur de la neige moyenne à la fin d'un mois en cm,1,31.07
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.83.1,NORM,Y,A,83,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with freezing rain or freezing drizzle,Jours avec pluie verglaçante ou bruine verglaçante,1,7.43
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.84.1,NORM,Y,A,84,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with thunderstorms,Jours avec orages,1,0.13
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.85.1,NORM,Y,A,85,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,930,,0,100,Days with hail,Jours avec grêle,1,0
